Designator,Mid X,Mid Y,Rotation,Layer
C1_10,15.37,-15.43,180,top
C1_9,15.37,-57.43,180,top
C1_8,34.37,-29.43,180,top
C1_7,15.37,-29.43,180,top
C1_6,34.37,-71.43,180,top
C1_5,15.37,-43.43,180,top
C1_4,34.37,-43.43,180,top
C1_3,15.37,-71.43,180,top
C1_2,34.37,-57.43,180,top
C1,34.37,-15.43,180,top
C2_10,18.18,-68.62,90,top
C2_9,37.18,-54.62,90,top
C2_8,37.18,-26.62,90,top
C2_7,18.18,-54.62,90,top
C2_6,37.18,-12.62,90,top
C2_5,18.18,-26.62,90,top
C2_4,18.18,-40.62,90,top
C2_3,18.18,-12.62,90,top
C2_2,37.18,-68.62,90,top
C2,37.18,-40.62,90,top
R1_10,26.85,-38.3225,90,top
R1_9,26.85,-24.3225,90,top
R1_8,26.85,-10.3225,90,top
R1_7,7.85,-52.3225,90,top
R1_6,7.85,-66.3225,90,top
R1_5,26.85,-66.3225,90,top
R1_4,7.85,-38.3225,90,top
R1_3,26.85,-52.3225,90,top
R1_2,7.85,-24.3225,90,top
R1,7.85,-10.3225,90,top
R2_10,12.1,-65.5725,180,top
R2_9,31.1,-37.5725,180,top
R2_8,12.1,-51.5725,180,top
R2_7,12.1,-23.5725,180,top
R2_6,12.1,-9.5725,180,top
R2_5,31.1,-9.5725,180,top
R2_4,31.1,-51.5725,180,top
R2_3,31.1,-23.5725,180,top
R2_2,31.1,-65.5725,180,top
R2,12.1,-37.5725,180,top
R3_10,34.375,-65.5725,0,top
R3_9,15.375,-37.5725,0,top
R3_8,34.375,-37.5725,0,top
R3_7,15.375,-65.5725,0,top
R3_6,15.375,-9.5725,0,top
R3_5,15.375,-51.5725,0,top
R3_4,15.375,-23.5725,0,top
R3_3,34.375,-23.5725,0,top
R3_2,34.375,-51.5725,0,top
R3,34.375,-9.5725,0,top
R4_10,9.6,-24.3225,90,top
R4_9,9.6,-10.3225,90,top
R4_8,9.6,-66.3225,90,top
R4_7,9.6,-52.3225,90,top
R4_6,28.6,-38.3225,90,top
R4_5,28.6,-52.3225,90,top
R4_4,9.6,-38.3225,90,top
R4_3,28.6,-24.3225,90,top
R4_2,28.6,-10.3225,90,top
R4,28.6,-66.3225,90,top
U1_10,34,-26.5,0,top
U1_9,15,-12.5,0,top
U1_8,15,-26.5,0,top
U1_7,34,-40.5,0,top
U1_6,34,-12.5,0,top
U1_5,34,-68.5,0,top
U1_4,15,-40.5,0,top
U1_3,15,-54.5,0,top
U1_2,15,-68.5,0,top
U1,34,-54.5,0,top
